# Export of ACLAME MGEs. Version 0.4, category All. Copyright (C) 2002-2018 The ACLAME team.
# ACLAME ID	Name	Segment	Size (bp)	Nb genes	Nb CDS	Taxo ID	MGE Type	Genome type	Genome strands	Genome organisation	Complete	Host(s)	Hosts taxo ID(s)	Cross-references
mge:1522	D3112		37611	55	55	10708	virus	DNA	ds	linear	yes	Pseudomonas aeruginosa	287	genbank:GenomeProject:14334;genbank:acc:NC_005178;genbank:gi:38229112
mge:1523	VP4		39503	31	31	329886	virus	DNA	ds	linear	yes	Vibrio	662	genbank:GenomeProject:15449;genbank:acc:NC_007149;genbank:gi:68299727
mge:1524	phi AT3		39166	55	55	279281	virus	DNA	ds	linear	yes	Lactobacillus casei	1582	genbank:acc:NC_005893;genbank:gi:48697258
mge:1525	Pf-WMP4		40938	45	45	400567	virus	DNA	ds	linear	yes	Phormidium	1198	genbank:GenomeProject:17743;genbank:acc:NC_008367;genbank:gi:115304338
mge:1526	PR5		14939	31	31	318596	virus	DNA	ds	linear	yes	Salmonella typhimurium LT2	99287	genbank:GenomeProject:15889;genbank:acc:NC_007452;genbank:gi:77123524
mge:1527	mu1/6		38194	52	52	370623	virus	DNA	ds	linear	yes	Streptomyces aureofaciens	1894	genbank:GenomeProject:16706;genbank:acc:NC_007967;genbank:gi:93007408
mge:1528	K1F		39704	41	43	344021	virus	DNA	ds	linear	yes	Escherichia coli	562	genbank:GenomeProject:15880;genbank:acc:NC_007456;genbank:gi:77118167
mge:1529	phi LC3		32172	51	51	12390	virus	DNA	ds	linear	yes	Lactococcus lactis subsp. cremoris	1359	genbank:acc:NC_005822;genbank:gi:45597386
mge:1530	Ma-LMM01		162109	186	184	340435	virus	DNA	ds	linear	yes	Microcystis aeruginosa	1126	genbank:GenomeProject:18127;genbank:acc:NC_008562;genbank:gi:117530171
mge:1531	29		42802	75	75	320846	virus	DNA	ds	linear	yes	Staphylococcus aureus	1280	genbank:GenomeProject:15277;genbank:acc:NC_007061;genbank:gi:66396191
mge:1532	P008		28538	58	58	83129	virus	DNA	ds	linear	yes	Lactococcus lactis subsp. lactis Il1403	272623	genbank:GenomeProject:17737;genbank:acc:NC_008363;genbank:gi:115304210
mge:1533	PSP3		30636	42	42	12407	virus	DNA	ds	linear	yes	Salmonella	590	genbank:GenomeProject:14345;genbank:acc:NC_005340;genbank:gi:41057352
mge:1534	ID12		5529	11	11	338136	virus	DNA	ss	circular	yes	Escherichia coli	562	genbank:GenomeProject:16625;genbank:acc:NC_007853;genbank:gi:89889009
mge:1535	NC56		5386	11	11	338123	virus	DNA	ss	circular	yes	Salmonella enterica subsp. enterica serovar Typhimurium	90371	genbank:GenomeProject:16613;genbank:acc:NC_007840;genbank:gi:89888865
mge:1536	Sulfolobus turreted icosahedral virus		17663	36	36	269145	virus	DNA	ds	linear	yes	Sulfolobus solfataricus	2287	genbank:GenomeProject:14401;genbank:acc:NC_005892;genbank:gi:48696991
mge:1537	BPP-1		42493	49	49	194699	virus	DNA	ds	linear	yes	Bordetella	517	genbank:acc:NC_005357;genbank:gi:41179361
mge:1538	Xp15		55770	84	84	322855	virus	DNA	ds	linear	yes	Xanthomonas campestris pv. pelargonii	91612	genbank:GenomeProject:15255;genbank:acc:NC_007024;genbank:gi:66392052
mge:1539	NC29		6259	10	10	338110	virus	DNA	ss	circular	yes	Escherichia coli	562	genbank:GenomeProject:16600;genbank:acc:NC_007827;genbank:gi:89888708
mge:1540	F116		65195	70	70	280701	virus	DNA	ds	linear	yes	Pseudomonas aeruginosa	287	genbank:acc:NC_006552;genbank:gi:56692908
mge:1541	Acidianus two-tailed virus		62730	72	72	315953	virus	DNA	ds	linear	yes	Acidianus	12914	genbank:GenomeProject:15686;genbank:acc:NC_007409;genbank:gi:75750386
mge:1542	RB32		165890	270	270	45406	virus	DNA	ds	linear	yes	Enterobacteriaceae	543	genbank:GenomeProject:17997;genbank:acc:NC_008515;genbank:gi:116326222
mge:1543	NC28		6065	10	10	338106	virus	DNA	ss	circular	yes	Escherichia coli	562	genbank:GenomeProject:16634;genbank:acc:NC_007823;genbank:gi:89903031
mge:1544	BcepF1		72415	127	127	417280	virus	DNA	ds	linear	yes	Burkholderia ambifaria	152480	genbank:GenomeProject:18857;genbank:acc:NC_009015;genbank:gi:126010934
mge:1545	Chlamydia phage 4		4530	8	8	313629	virus	DNA	ss	circular	yes	Chlamydophila abortus	83555	genbank:GenomeProject:15781;genbank:acc:NC_007461;genbank:gi:77020114
mge:1547	KS7		40794	59	59	293644	virus	DNA	ds	linear	yes	Salmonella enterica subsp. enterica serovar Typhimurium	90371	genbank:GenomeProject:15158;genbank:acc:NC_006940;genbank:gi:62327307
mge:1548	P-SSM4		178249	198	198	268747	virus	DNA	ds	linear	yes	Prochlorococcus marinus	1219	genbank:GenomeProject:15136;genbank:acc:NC_006884;genbank:gi:61806202
mge:1549	X2		43440	77	77	320850	virus	DNA	ds	linear	yes	Staphylococcus aureus	1280	genbank:GenomeProject:15281;genbank:acc:NC_007065;genbank:gi:66394670
mge:1550	Catera		153766	253	218	373404	virus	DNA	ds	linear	yes	Mycobacterium;Mycobacterium smegmatis	1763;1772	genbank:GenomeProject:17141;genbank:acc:NC_008207;genbank:gi:109393216
mge:1551	Chlamydia phage 3,		4554	8	8	225067	virus	DNA	ss	circular	yes	Chlamydophila pecorum	85991	genbank:acc:NC_008355;genbank:gi:47566140
mge:1552	PA73		42999	52	52	347325	virus	DNA	ds	linear	yes	Pseudomonas aeruginosa	287	genbank:GenomeProject:16384;genbank:acc:NC_007806;genbank:gi:89152531
mge:1553	NC2		5577	11	11	338131	virus	DNA	ss	circular	yes	Escherichia coli	562	genbank:GenomeProject:16620;genbank:acc:NC_007848;genbank:gi:89888949
mge:1554	PRR1		3573	4	4	12024	virus	RNA	ss	linear	yes	Pseudomonas	286	genbank:GenomeProject:17481;genbank:acc:NC_008294;genbank:gi:113195172
mge:1555	Vf12		7965	7	7	127511	virus	DNA	ss	circular	yes	Vibrio parahaemolyticus	670	genbank:GenomeProject:14385;genbank:acc:NC_005949;genbank:gi:49248530
mge:1556	Sf6		39043	70	66	10761	virus	DNA	ds	linear	yes	Shigella flexneri	623	genbank:acc:NC_005344;genbank:gi:41057278
mge:1557	187		39620	77	77	55511	virus	DNA	ds	linear	yes	Staphylococcus aureus	1280	genbank:GenomeProject:15264;genbank:acc:NC_007047;genbank:gi:66395215
mge:1558	ID34		5386	11	11	338113	virus	DNA	ss	circular	yes	Escherichia coli	562	genbank:GenomeProject:16603;genbank:acc:NC_007830;genbank:gi:89888743
mge:1559	Lj928		38384	50	50	139872	virus	DNA	ds	linear	yes	Lactobacillus johnsonii	33959	genbank:acc:NC_005354;genbank:gi:41179287
mge:1560	Sulfolobus spindle-shaped virus 2		14796	34	34	244590	virus	DNA	ds	linear	yes	Sulfolobus;Sulfolobus solfataricus	2284;2287	genbank:acc:NC_005265;genbank:gi:38639801
mge:1561	Felix 01		86155	153	131	77775	virus	DNA	ds	linear	yes	Salmonella	590	genbank:GenomeProject:14323;genbank:acc:NC_005282;genbank:gi:38707640
mge:1562	NC16		5386	11	11	338119	virus	DNA	ss	circular	yes	Escherichia coli	562	genbank:GenomeProject:16609;genbank:acc:NC_007836;genbank:gi:89888817
mge:1563	ID1		5386	11	11	338111	virus	DNA	ss	circular	yes	Escherichia coli	562	genbank:GenomeProject:16601;genbank:acc:NC_007828;genbank:gi:89888719
mge:1564	phiV10		39104	55	55	343516	virus	DNA	ds	linear	yes	Escherichia coli O157:H7	83334	genbank:GenomeProject:16381;genbank:acc:NC_007804;genbank:gi:89152422;genbank:gi:155370093
mge:1565	BcepMu		36748	53	53	264729	virus	DNA	ds	linear	yes	Burkholderia cenocepacia	95486	genbank:GenomeProject:14376;genbank:acc:NC_005882;genbank:gi:48696910
mge:1566	phi CD119		53325	79	79	320122	virus	DNA	ds	linear	yes	Clostridium difficile	1496	genbank:GenomeProject:16662;genbank:acc:NC_007917;genbank:gi:90592637
mge:1567	GBSV1		34683	54	54	365048	virus	DNA	ds	linear	yes	Geobacillus sp. 6k51	340407	genbank:GenomeProject:17775;genbank:acc:NC_008376;genbank:gi:124300942
mge:1568	BCJA1c		41092	58	58	294382	virus	DNA	ds	linear	yes	Bacillus clarkii	79879	genbank:GenomeProject:14548;genbank:acc:NC_006557;genbank:gi:56694869
mge:1570	PA11		49639	70	70	347327	virus	DNA	ds	linear	yes	Pseudomonas aeruginosa	287	genbank:GenomeProject:16386;genbank:acc:NC_007808;genbank:gi:89152533
mge:1571	CNPH82		43420	65	65	398839	virus	DNA	ds	linear	yes	Staphylococcus epidermidis	1282	genbank:GenomeProject:18523;genbank:acc:NC_008722;genbank:gi:119953678
mge:1572	ID8		5540	11	11	338129	virus	DNA	ss	circular	yes	Escherichia coli	562	genbank:GenomeProject:16619;genbank:acc:NC_007846;genbank:gi:89888937
mge:1573	ID52		5538	11	11	338108	virus	DNA	ss	circular	yes	Escherichia coli	562	genbank:GenomeProject:16598;genbank:acc:NC_007825;genbank:gi:89888685
mge:1574	F10		39199	63	63	347324	virus	DNA	ds	linear	yes	Pseudomonas aeruginosa	287	genbank:GenomeProject:16383;genbank:acc:NC_007805;genbank:gi:89152530
mge:1575	WA3		5540	11	11	338128	virus	DNA	ss	circular	yes	Escherichia coli	562	genbank:GenomeProject:16618;genbank:acc:NC_007845;genbank:gi:89888925
mge:1576	ID41		5577	11	11	338134	virus	DNA	ss	circular	yes	Escherichia coli	562	genbank:GenomeProject:16623;genbank:acc:NC_007851;genbank:gi:89888985
mge:1577	G1		138715	214	214	292029	virus	DNA	ds	linear	yes	Staphylococcus aureus	1280	genbank:GenomeProject:15261;genbank:acc:NC_007066;genbank:gi:66394949
mge:1578	SMP		36216	48	48	413066	virus	DNA	ds	linear	yes	Streptococcus suis	1307	genbank:GenomeProject:18529;genbank:acc:NC_008721;genbank:gi:119953745
mge:1579	ID45		5386	11	11	338114	virus	DNA	ss	circular	yes	Escherichia coli	562	genbank:GenomeProject:16604;genbank:acc:NC_007831;genbank:gi:89888757
mge:1580	31		172963	262	247	321023	virus	DNA	ds	linear	yes	Aeromonas salmonicida	645	genbank:GenomeProject:15416;genbank:acc:NC_007022;genbank:gi:66391804
mge:1581	phiPVL(108)		44857	59	59	360398	virus	DNA	ds	linear	yes	Staphylococcus aureus	1280	genbank:GenomeProject:18463;genbank:acc:NC_008689;genbank:gi:119443652
mge:1582	44RR2.8t		173591	269	252	115987	virus	DNA	ds	linear	yes	Aeromonas salmonicida	645	genbank:acc:NC_005135;genbank:gi:37651481
mge:1583	Syn9		176847	235	229	382359	virus	DNA	ds	linear	yes	Synechococcus sp. WH 8012;Prochlorococcus marinus	166313;1219	genbank:GenomeProject:17541;genbank:acc:NC_008296;genbank:gi:113200510
mge:1584	p12J		7118	9	9	247080	virus	DNA	ds	linear	yes	Ralstonia pickettii	329	genbank:GenomeProject:14307;genbank:acc:NC_005131;genbank:gi:37595891;genbank:gi:156535141
mge:1585	WA14		5486	11	11	338140	virus	DNA	ss	circular	yes	Escherichia coli	562	genbank:GenomeProject:16629;genbank:acc:NC_007857;genbank:gi:89888082
mge:1586	N4		70153	72	72	10752	virus	DNA	ds	linear	yes	Escherichia coli;Escherichia coli K12	562;83333	genbank:GenomeProject:18511;genbank:acc:NC_008720;genbank:gi:119952179
mge:1587	WA2		5540	11	11	338127	virus	DNA	ss	circular	yes	Escherichia coli	562	genbank:GenomeProject:16617;genbank:acc:NC_007844;genbank:gi:89888913
mge:1588	71		43114	72	72	320844	virus	DNA	ds	linear	yes	Staphylococcus aureus	1280	genbank:GenomeProject:15275;genbank:acc:NC_007059;genbank:gi:66396040
mge:1589	VWB		49220	61	61	10702	virus	DNA	ds	linear	yes	Streptomyces venezuelae	54571	genbank:GenomeProject:14485;genbank:acc:NC_005345;genbank:gi:53869480
mge:1590	ID18		5486	11	11	338139	virus	DNA	ss	circular	yes	Escherichia coli	562	genbank:GenomeProject:16628;genbank:acc:NC_007856;genbank:gi:89888094
mge:1591	phiNM3		44061	65	65	387909	virus	DNA	ds	linear	yes	Staphylococcus aureus	1280	genbank:GenomeProject:18329;genbank:acc:NC_008617;genbank:gi:118725053
mge:1592	BMP-1		42663	47	47	263374	virus	DNA	ds	linear	yes	Bordetella bronchiseptica	518	genbank:acc:NC_005808;genbank:gi:45429963
mge:1593	RTP		46219	75	75	355246	virus	DNA	ds	linear	yes	Escherichia coli	562	genbank:GenomeProject:16178;genbank:acc:NC_007603;genbank:gi:81343928
mge:1594	2638A		41318	57	57	320836	virus	DNA	ds	linear	yes	Staphylococcus aureus	1280	genbank:GenomeProject:15267;genbank:acc:NC_007051;genbank:gi:66395450
mge:1595	BJ1		42271	71	70	416419	virus	DNA	ds	linear	yes	Halorubrum	56688	genbank:GenomeProject:18503;genbank:acc:NC_008695;genbank:gi:119756985
mge:1596	PR3		14937	31	31	318594	virus	DNA	ds	linear	yes	Salmonella typhimurium LT2	99287	genbank:GenomeProject:15887;genbank:acc:NC_007450;genbank:gi:77122163
mge:1597	F8		66015	91	91	347329	virus	DNA	ds	linear	yes	Pseudomonas aeruginosa	287	genbank:GenomeProject:16388;genbank:acc:NC_007810;genbank:gi:89158250
mge:1598	Lj965		40190	46	46	139870	virus	DNA	ds	linear	yes	Lactobacillus johnsonii	33959	genbank:acc:NC_005355;genbank:gi:41179217
mge:1599	Bcep1		48177	71	71	244310	virus	DNA	ds	linear	yes	Burkholderia cenocepacia	95486	genbank:GenomeProject:14409;genbank:acc:NC_005263;genbank:gi:47777280
