Name	Accessions	Description	References
Tn55	NA	Tn55 contains a gene conferring kanamycin resistance. This transposon is identical to Tn601 and Tn903.	Cohen SN, et al. (1980) Transposable genetic elements. Sci Am 242(2): 40-49. doi: 10.1038/scientificamerican0280-40
Tn71	AP002527	Tn71 is identical to Tn7, containing trimethoprim and streptomycin resistance genes. It was located on plasmid R721.	Barth PT, et al. (1977) Two Naturally Occurring Transposons Indistinguishable from Tn7. Microbiology 102(1): 129-134. doi: 10.1099/00221287-102-1-129
Tn72	NA	Tn72 is identical to Tn7, containing trimethoprim and streptomycin resistance genes. It was located on plasmid pBW1.	Barth PT, et al. (1977) Two Naturally Occurring Transposons Indistinguishable from Tn7. Microbiology 102(1): 129-134. doi: 10.1099/00221287-102-1-129
Tn76	NA	Tn76 is closely related to Tn7 and confers resistance to trimethoprim and streptomycin. It was located on plasmid pRP761.	Barth PT, et al. (1984). Involvement of kil and kor genes in the phenotype of a host-range mutant of RP4. Molecular and General Genetics MGG 197(2): 236-243. doi: 10.1007/BF00330969
Tn125	JN872328	Tn125 is 10,099 bp transposon encoding a NDM-1 carbapenemase found in Acinetobacter baumannii.	Poirel, L., et al(2012). Tn125-Related Acquisition of blaNDM-Like Genes in Acinetobacter baumannii. Antimicrobial Agents and Chemotherapy, 56(2), 1087–1089. DOI: 10.1128/AAC.05620-11
Tn163	L14931	Tn163 is a 4.6 kb transpsosn located on endogenous plasmids and was identified in Rhizobium leguminosarum bv. viciae. This transposon is characterised by the presence of 38 bp terminal inverted repeats. Tn163 encodes a transposase and a resolvase.	Ulrich, A., & Pühler, A. (1994). The new class 11 transposon Tn163 is plasmid-borne in two unrelated Rhizobium leguminosarum biovar viciae strains. Molecular and General Genetics MGG, 242(5), 505-516. DOI: https://link.springer.com/article/10.1007/BF00285274
Tn501	Z00027	Tn501 is a 8.3 kb transposon detected on plasmid pVS1 from Pseudomonas aeruginosa  which encodes mercuric ion resistance determinants.	Bennett, P. M., Grinsted, J., Choi, C. L., & Richmond, M. H. (1978). Characterisation of Tn501, a transposon determining resistance to mercuric ions. Molecular and General Genetics MGG, 159(1), 101-106. Link: https://link.springer.com/article/10.1007/BF00401753
Tn502	EU306743	Tn502 is a 9.6 kb transposon detected on plasmid pVS6 of Pseudomonas aeruginosa. This transposon carries a mer operon that confers resistance to mercury.	Stanisich, V. A., Arwas, R., Bennett, P. M., & De la Cruz, F. (1989). Characterization of Pseudomonas mercury-resistance transposon Tn502, which has a preferred insertion site in RP1. Microbiology, 135(11), 2909-2915. doi:10.1099/00221287-135-11-2909
Tn510	DQ471307	Tn510 is a 13.3 kb transposn which was found to be located on plasmid R906 of Bordetella bronchiseptica. It carries a mer operon that confers resistance to mercury and two aminoglycoside phosphotransferase genes that encode streptomycin resistant determinants.	Petrovski, S., & Stanisich, V. A. (2011). Embedded elements in the IncPβ plasmids R772 and R906 can be mobilized and can serve as a source of diverse and novel elements. Microbiology, 157(6), 1714-1725. DOI: 10.1099/mic.0.047761-0
Tn511	EU287476	Tn511 is a 19.0 kb transposon detected on plasmid R772 of Proteus mirabilis. It carries a mercury resistance (mer) operon and an aminoglycoside phosphotransferase gene that confers resistance to kanamycin.	Petrovski, S., & Stanisich, V. A. (2011). Embedded elements in the IncPβ plasmids R772 and R906 can be mobilized and can serve as a source of diverse and novel elements. Microbiology, 157(6), 1714-1725. doi: 10.1099/mic.0.047761-0
Tn512	EU306744	Tn512 is a 8.4 kb transposon of the Tn5053-family. It carries a mercury resistance (mer) operon and was detected in clinical strains of Pseudomonas spp.	Petrovski, S., Blackmore, D. W., Jackson, K. L., & Stanisich, V. A. (2011). Mercury (II)-resistance transposons Tn502 and Tn512, from Pseudomonas clinical strains, are structurally different members of the Tn5053 family.Plasmid, 65(1), 58-64. DOI: https://doi.org/10.1016/j.plasmid.2010.08.003
Tn536	NA	Tn536 is an approximately 16 kb transposon that encodes resistance to trimethorpim, spectinomycin, streptomycin, sulfonamides and mercury ions.	Tonin, P. N., & Grant, R. B. (1987). Genetic and physical characterization of trimethoprim resistance plasmids from Shigella sonnei and Shigella flexneri.Canadian journal of microbiology, 33(10), 905-913. DOI:https://doi.org/10.1139/m87-157
Tn551	Y13600	Tn551 is a 5.2 kb transposon detected in Staphylococcus aureus. Tn551 is very similar to the enterococcal transposon Tn917 and encodes an erythromycin resistant determinant.	Khan, S. A., & Novick, R. P. (1980). Terminal nucleotide sequences of Tn551, a transposon specifying erythromycin resistance in Staphylococcus aureus: homology with Tn3. Plasmid, 4(2), 148-154. DOI: https://doi.org/10.1016/0147-619X(80)90004-9 WU, S. W., DE LENCASTRE, H. E. R. M. I. N. I. A., & TOMASZ, A. (1999). The Staphylococcus aureus transposon Tn 551: complete nucleotide sequence and transcriptional analysis of the expression of the erythromycin resistance gene. Microbial Drug Resistance, 5(1), 1-7. DOI: https://doi.org/10.1089/mdr.1999.5.1
Tn552	X52734	Tn552 is a 6.5 kb transposon found in Staphylococcus aureus which encodes beta-lactam resistant determinants.	Rowland, S. J., & Dyke, K. G. (1989). Characterization of the staphylococcal beta-lactamase transposon Tn552. The EMBO journal, 8(9), 2761. PMCID: PMC401285 Rowland, S. J., & Dyke, K. G. H. (1990). Tn552, a novel transposable element from Staphylococcus aureus. Molecular microbiology, 4(6), 961-975. DOI: 10.1111/j.1365-2958.1990.tb00669.x
Tn554	X03216	Tn554 is a 6.7 kb transposon found in Staphylococcus aureus. It encodes erythromycin and spectinomycin resistant determinants.	Phillips, S., & Novick, R. P. (1979). Tn554—a site-specific represser-controlled transposon in Staphylococcus aureus. Nature, 278(5703), 476-478. DOI:10.1038/278476a0 Murphy, E., Huwyler, L., & de Freire Bastos, M. D. C. (1985). Transposon Tn554: complete nucleotide sequence and isolation of transposition-defective and antibiotic-sensitive mutants. The EMBO journal, 4(12), 3357. PMCID: PMC554666
Tn558	AJ715531	Tn558 is a 6.6 kb transposon which carries a florfenicol-chloramphenicol efflux gene, fexA and a putative oxidoreductase gene. It is a member of Tn554 family of staphylococcal transposons. It was detected on plasmid pSCFS2 of Staphylococcus lentus.	Kehrenberg, C., & Schwarz, S. (2005). Florfenicol-chloramphenicol exporter gene fexA is part of the novel transposon Tn558. Antimicrobial agents and chemotherapy, 49(2), 813-815. doi:  10.1128/AAC.49.2.813-815.2005 Kehrenberg, C., & Schwarz, S. (2004). fexA, a novel Staphylococcus lentus gene encoding resistance to florfenicol and chloramphenicol. Antimicrobial agents and chemotherapy, 48(2), 615-618. doi:  10.1128/AAC.48.2.615-618.2004
Tn559	FN677369|FR849910	Tn559 is a 4.2 kb transposon related to Tn554. The erm(A) and spc resistance genes of Tn554 were replaced by dfrK in Tn559.  Tn559 was detected in Staphylococcus aureus ST398 strain and found to be integrated in the chromosomal radC gene. Tn559 was also detected in different species of Enterococci.	Kadlec, K., & Schwarz, S. (2010). Identification of the novel dfrK-carrying transposon Tn559 in a porcine methicillin-susceptible Staphylococcus aureus ST398 strain. Antimicrobial agents and chemotherapy, 54(8), 3475-3477. doi:  10.1128/AAC.00464-10 López, M., Kadlec, K., Schwarz, S., & Torres, C. (2012). First detection of the staphylococcal trimethoprim resistance gene dfrK and the dfrK-carrying transposon Tn 559 in enterococci. Microbial Drug Resistance, 18(1), 13-18. doi:https://doi.org/10.1089/mdr.2011.0073
Tn601	NA	Tn601 is identical to Tn55 and Tn903, which contains a kanamycin resistance gene.	Oka A. et al. (1981). Nucleotide sequence of the kanamycin resistance transposon Tn903. J Mol Biol 147(2): 217-226. doi: 10.1016/0022-2836(81)90438-1 Romanova IuM, et al. (1980). Transposition of the kanamycin resistance determinant (Tn601) from plasmid 5T to the genome of bacteriophage lambda and the expression of this gene after prophage induction Genetika 16(2): 199-204. PMID: 6444394
Tn602	AH000951	Tn602 is highly homologous to Tn903. It contains kanamycin resistance gene, which is flanked by direct repeats of IS602.	Stibitz S, et al. (1987). Tn602: a naturally occurring relative of Tn903 with direct repeats. Plasmid 17(3): 202-209. doi: 10.1016/0147-619X(87)90028-X
Tn610	X53635	Tn610 is a composite transposon (flanked by IS6100), isolated from Mycobacterium smegmatis. It was likely to derive from an In4-like integron. This transposon confers resistance to sulfonamides, via suf3  (encoding dihydropterate synthase).	Martin C, et al. (1990) Transposition of an antibiotic resistance element in mycobacteria. Nature 345(6277): 739-743. doi: 10.1038/345739a0
Tn611	NA	Tn611 is modified from Tn610 by replacing sul3 gene with aph(3') from Tn903, which confers kanamycin resistance.	Perez E, et al. (1998). "Tn611 transposon mutagenesis in Mycobacterium smegmatis using a temperature-sensitive delivery system." Methods Mol Biol 101: 187-198. doi: 10.1385/0-89603-471-2:187
Tn654	NA	Tn654 is closely related to Tn1331 and belongs to the Tn3 family. It was identified from the conjugative plasmid pBWH302. It contains aac(6')-lb', aadA, and bla genes, conferring resistance to amikacin, streptomycin and ampicillin, respectively.	Hopkins JD, et al. (1991). Nosocomial spread of an amikacin resistance gene on both a mobilized, nonconjugative plasmid and a conjugative plasmid. Antimicrobial Agents and Chemotherapy, 35(8), 1605–1611. doi: 10.1128/AAC.35.8.1605
Tn679	NA	Tn679 is a composite transposon, which contains a kanamycin resistance gene flanked by an intact IS679 sequence and an IS679 fragment.	Han CG, et al. (2001). Structural and Functional Characterization of  IS679 and IS66-Family Elements. Journal of Bacteriology, 183(14), 4296–4304. doi: 10.1128/JB.183.14.4296-4304.2001
Tn701	NA	Tn701 is a 8.5 kb transposon, conferring tetracycline resistance. It was identified from plasmid R446b	Minakhina S, et al. (1999) Tn5053 family transposons are res site hunters sensing plasmidal res sites occupied by cognate resolvases. Mol Microbiol 33(5): 1059-1068. doi: 10.1046/j.1365-2958.1999.01548.x Mindlin SZ, et al. (1996). Incorporation of Tn5053 and Tn402 into various plasmids. Genetika 32(10): 1426-1430. PMID: 9091418
Tn732	NA	Tn732 is a transposon found on the plasmid pHH1313b, conferring gentamycin/tobramycin resistance.	Nugent ME, et al. (1979) A transposon, Tn732, encoding gentamicin/tobramycin resistance. Nature 282(5737): 422-423. doi: 10.1038/282422a0
Tn733	NA	Tn733 contains a gene encoding the gentamicin acetyltransferase AAC(3), which was found on plasmid pHH1302 and  pHH1307.	Nugent ME, et al. (1980). Transposable gentamicin resistance in IncW plasmids from Hammersmith Hospital. J Gen Microbiol 121(1): 259-262. doi: 10.1099/00221287-121-1-259
Tn734	NA	Tn734 is identical to Tn733. It was designated as Tn733 which transposed from plasmid pHH1302-1 to plasmid R388.	Nugent ME, et al. (1980). Transposable gentamicin resistance in IncW plasmids from Hammersmith Hospital. J Gen Microbiol 121(1): 259-262. doi: 10.1099/00221287-121-1-259
Tn735	NA	Tn735 is related to Tn21, which was identified from plasmid pHH502-1. It contains genes conferring mercury and trimethoprim resistance.	Smith CA, et al. (1987) Narrow-host-range IncP plasmid pHH502-1 lacks a complete IncP replication system. J Gen Microbiol 133(8): 2247-2252. doi: 10.1099/00221287-133-8-2247
Tn800	NA	Tn800 was found on plasmid R1535, which confers resistance to aminoglycoside and sulphonamide.	Hedges RW, et al. (1984) Resistance to apramycin in Escherichia coli isolated from animals: detection of a novel aminoglycoside-modifying enzyme. J Gen Microbiol 130(3): 473-482. doi: 10.1099/00221287-133-8-2247
Tn801	AF080442	Tn801, previously called as TnA, is closely related to Tn3 and contains blaTEM-15, transposase and resolvase genes.	Chouchani C, et al. (2007). Cloning and sequencing of the class A beta-lactamase gene (blaTEM-15) located on a chromosomal Tn801 transposon. Diagn Microbiol Infect Dis 58(4): 459-463. doi: 10.1016/j.diagmicrobio.2007.02.012 Ward, JM, et al, (1978). Mapping of functions in the R-plasmid R388 by examination of deletion mutants generated in vitro. Gene 3(2): 87-95. doi: 10.1016/0378-1119(78)90053-7
Tn802	NA	Tn802 is identified from a plasmid RP1-1. It is similar to Tn801 and contains ampicillin resistance gene.	Grinsted J, et al. (1978). Regional preference of insertion of Tn501 and Tn802 into RP1 and its derivatives. Mol Gen Genet 166(3): 313-320. doi: 10.1007/BF00267624
Tn804	NA	Tn804 was found in Escherichia coli and was shown to compose of Tn10 and another transposable sequence. Tetracycline resistance gene is located with in the Tn10 part of Tn804.	Jørgensen ST,  et al. (1980). New translocation sequence mediating tetracycline resistance found in Escherichia coli pathogenic for piglets. Antimicrobial Agents and Chemotherapy, 18(1), 200–205. doi: 10.1128/AAC.18.1.200
Tn813	NA	Tn813 is a tnpR mutant of Tn21, which contains mercury resistance (mer) operon, integron In2, IS1326 and IS1353.	Balligand G, et al. (1985). Genetic analysis of virulence plasmid from a serogroup 9 Yersinia enterocolitica strain: role of outer membrane protein P1 in resistance to human serum and autoagglutination. Infection and Immunity, 48(3), 782–786. PMID: 2987130  Diver, WP, et al. (1983). DNA sequences of and complementation by the tnpR genes of Tn21, Tn501 and Tn1721. Mol Gen Genet 191(2): 189-193. doi: 10.1007/BF00334812
Tn841	M88143	Tn841 is approximately 7 kb in size, which contains a gene encoding TEM-12 beta-lactamase.	Heritage J, et al. (1992). Transposition of the gene encoding a TEM-12 extended-spectrum beta-lactamase. Antimicrobial Agents and Chemotherapy, 36(9), 1981–1986. doi: 10.1128/AAC.36.9.1981
Tn901	NA	Tn901 was found to be located on plasmid pRI477A of Salmonella panama. It encodes ampicillin resistance.	Andreoli, P. M., Overbeeke, N., Veltkamp, E., Embden, J. V., & Nijkamp, H. J. J. (1978). Genetic map of the bacteriocinogenic plasmid CLO DF13 derived by insertion of the transposon Tn901. Molecular and General Genetics MGG, 160(1), 1-11. Link: https://link.springer.com/article/10.1007/BF00275113 Embden, J. D. A. (1978). Translocation of an ampicillin resistance determinant within an R-factor aggregate in Salmonella panama. Antonie Van Leeuwenhoek, 44(2), 203-218. Link: https://link.springer.com/content/pdf/10.1007/BF00643223.pdf
Tn902	NA	Tn902 is a Tn3-like transposon which carries a bla gene and confers resistance to ampicillin.	Iida, S., Hiestand-Nauer, R., Hänni, C., & Arber, W. (1985). Reversion of a truncated gene for ampicillin resistance by genetic rearrangements in Escherichia coli K12. Molecular and General Genetics MGG, 201(2), 174-177. Link: https://link.springer.com/article/10.1007/BF00425656
Tn903	V00359	Tn903 is a kanamycin resistance transposon with a size of 3094 bp. It is identical to Tn55 and Tn601.	Oka, A., Sugisaki, H., & Takanami, M. (1981). Nucleotide sequence of the kanamycin resistance transposon Tn903. Journal of molecular biology,147(2), 217-226. DOI: 10.1016/0022-2836(81)90438-1
Tn904	NA	Tn904 is a streptomycin resistance transposon with a estimated size of 5.2 kb.	McCombie, W. R., Hansen, J. B., Zylstra, G. J., Maurer, B., & Olsen, R. H. (1983). Pseudomonas streptomycin resistance transposon associated with R-plasmid mobilization. Journal of Bacteriology, 155(1), 40-48. DOI: 155/1/40.long
Tn916	U09422|KM516885	Tn916 is a conjugative transposon with a size of 18,032 bp. It was originally found in Enterococcus faecalis DS16. Tn916 was the first conjugative transposon reported to encode antibiotic resistance determinants. It confers resistance to tetracycline via tet(M).	Franke, A. E., & Clewell, D. B. (1981). Evidence for a chromosome-borne resistance transposon (Tn916) in Streptococcus faecalis that is capable of" conjugal" transfer in the absence of a conjugative plasmid. Journal of Bacteriology, 145(1), 494-502. PMCID: PMC217299 Flannagan, S. E., Zitzow, L. A., Su, Y. A., & Clewell, D. B. (1994). Nucleotide sequence of the 18-kb conjugative transposon Tn916 from Enterococcus faecalis. Plasmid, 32(3), 350-354. DOI: 10.1006/plas.1994.1077 Roberts, A. P., Browne, H. P., Anvar, S. Y., Frank, J., Lawley, T. D., & Smits, W. K. (2014). Complete genome sequence of BS49 and draft genome sequence of BS34A, Bacillus subtilis strains carrying Tn916. FEMS microbiology letters, 362(3), 1-4. DOI: 10.1093/femsle/fnu050
Tn917	M11180	Tn917 is a 5.2 kb transposon originally identified on plasmid pAD2 of Enterococcus faecalis DS16. Tn917 confers resistance to macrolide-lincosamide-streptogramin B (MLS) class antibiotics via erm(B).	Perkins, J. B., & Youngman, P. J. (1984). A physical and functional analysis of Tn917, a Streptococcus transposon in the Tn3 family that functions in Bacillus. Plasmid, 12(2), 119-138. DOI: 10.1016/0147-619X(84)90058-1 Shaw, J. H., & Clewell, D. B. (1985). Complete nucleotide sequence of macrolide-lincosamide-streptogramin B-resistance transposon Tn917 in Streptococcus faecalis. Journal of Bacteriology, 164(2), 782-796. Link: http://jb.asm.org/content/164/2/782.long
Tn918	NA	Tn918 is a 16.8 kb conjugative transposon similar to Tn916 and was originally detected in Enterococcus faecalis RC73. It confers resistance to tetracycline via tet(M).	Clewell, D. B., An, F. Y., White, B. A., & Gawron-Burke, C. Y. N. T. H. I. A. (1985). Streptococcus faecalis sex pheromone (cAM373) also produced by Staphylococcus aureus and identification of a conjugative transposon (Tn918). Journal of bacteriology, 162(3), 1212-1220. Link: http://jb.asm.org/content/162/3/1212
Tn919	NA	Tn919 is a conjugative transposon similar to Tn916 and was originally detected in Streptococcus sanguis FC1. It carries a tet(M) gene conferring tetracycline resistance.	Fitzgerald, G. F., & Clewell, D. B. (1985). A conjugative transposon (Tn919) in Streptococcus sanguis. Infection and immunity, 47(2), 415-420. PMCID: PMC263185
Tn924	NA	Tn924 is a 27 kb transposon encoding resistance to gentamicin. It was detected in the chromosome of Enterococcus faecalis.	Thal, L. A., Chow, J. W., Clewell, D. B., & Zervos, M. J. (1994). Tn924, a chromosome-borne transposon encoding high-level gentamicin resistance in Enterococcus faecalis. Antimicrobial agents and chemotherapy, 38(5), 1152-1156. PMCID: PMC188167
Tn925	AY855841	Tn925 is a conjugative transposon which encodes tetracycline resistance determinants. Tn925 shares a significant homology to Tn916. It was originally found to be located on pCF10 plasmid of Enterococcus faecalis.	Christie, P. J., & Dunny, G. M. (1986). Identification of regions of the Streptococcus faecalis plasmid pCF-10 that encode antibiotic resistance and pheromone response functions. Plasmid, 15(3), 230-241. DOI: 10.1016/0147-619X(86)90041-7 Torres, O. R., Korman, R. Z., Zahler, S. A., & Dunny, G. M. (1991). The conjugative transposon Tn925: enhancement of conjugal transfer by tetracycline in Enterococcus faecalis and mobilization of chromosomal genes in Bacillus subtilis and E. faecalis. Molecular and General Genetics MGG, 225(3), 395-400. Link: https://link.springer.com/article/10.1007%2FBF00261679?LI=true Showsh, S. A., & Andrews Jr, R. E. (1996). Functional Comparison of Conjugative Transposons Tn916and Tn925. Plasmid, 35(3), 164-173. DOI: 10.1006/plas.1996.0019
Tn950	NA	Tn950 is a erythromycin resistance conjugative transposon with a size of 47.0 kb. It was detected in Enterococcus faecium.	Takeuchi, K., Tomita, H., Fujimoto, S., Kudo, M., Kuwano, H., & Ike, Y. (2005). Drug resistance of Enterococcus faecium clinical isolates and the conjugative transfer of gentamicin and erythromycin resistance traits. FEMS microbiology letters, 243(2), 347-354. DOI: 10.1016/j.femsle.2004.12.022
Tn951	NA	Tn951, a lactose fermentation transposon, is 16.6 kb long and was originally found on plasmid pGC1 of Yersinia enterocolitica. It carries a lac operon.	Cornelis, G., Ghosal, D., & Saedler, H. (1978). Tn951: a new transposon carrying a lactose operon. Molecular and General Genetics MGG, 160(2), 215-224. DOI: 10.1007/BF00267484
Tn981	NA	Tn981 is a small transposon with a size of 2.3 kb which encodes resistance to chloramphenicol.	Reif, H. J. (1980). Genetic evidence for absence of transposition functions from the internal part of Tn981 a relative of Tn9. Molecular and General Genetics MGG, 177(4), 667-674. DOI: 10.1007/BF00272678
Tn1000	X60200	Tn1000 is a 5.9 kb transposon, also known a gamma delta that belongs to the Tn3 class of transposons. It was originally identified on the F plasmid of Escherichia coli K-12.	Centola, M. B., Tsai, M. M., & Deonier, R. C. (1987). Transposition of Tn1000: activity of single or directly repeated termini. Journal of bacteriology, 169(12), 5852-5855. PMCID: PMC214186 Broom, J. E., Hill, D. F., Hughes, G., Jones, W. A., McNaughton, J. C., Stockwell, P. A., & Petersen, G. B. (1995). Sequence of a transposon identified as Tn1000 (γδ). DNA Sequence, 5(3), 185-189. DOI: 10.3109/10425179509029361
Tn1005	NA	Tn1005 is an artificial transposon construct carrying the wild-type Tn1000 termini and approximately 1 kb of flanking Tn1000 DNA at each end.	Tsai, M. M., Wong, R. Y., Hoang, A. T., & Deonier, R. C. (1987). Transposition of Tn1000: in vivo properties. Journal of bacteriology, 169(12), 5556-5562. PMCID: PMC213985
Tn1013	AM261760	Tn1013 is a 8.2 kb transposon related to Tn3-family transposon found to be located on plasmid pBS228 of Pseudomonas aeruginosa.	Haines, A. S., Jones, K., Batt, S. M., Kosheleva, I. A., & Thomas, C. M. (2007). Sequence of plasmid pBS228 and reconstruction of the IncP-1α phylogeny. Plasmid, 58(1), 76-83. DOI: 10.1016/j.plasmid.2007.01.001
Tn1021	NA	Tn1021 is a 6 kb transposon carrying a tetracycline resistance determinant. Unlike other IS-associated transposon, the Tn1021 is not flanked by two copies of IS102, but contains only a single copy of IS102 at one end.	Machida, Y., Machida, C., & Ohtsubo, E. (1982). A novel type of transposon generated by insertion element IS102 present in a pSC101 derivative. Cell,30(1), 29-36. DOI: http://dx.doi.org/10.1016/0092-8674(82)90008-3
Tn1022	NA	Tn1022 is a 10 kb transposon carrying a tetracycline resistant determinant. Similar to Tn1021 it contains a single copy of IS102 at one end only.	Machida, Y., Machida, C., & Ohtsubo, E. (1982). A novel type of transposon generated by insertion element IS102 present in a pSC101 derivative. Cell,30(1), 29-36. DOI: 10.1016/0092-8674(82)90008-3
Tn1116	AM411377	Tn1116 is a Tn916 family transposon resulting from the insertion of erm(B)-IS1216 DNA into the tet(M) gene of a defective Tn5397.	Brenciani A, et al. (2007). Genetic Elements Carrying erm(B) in Streptococcus pyogenes and Association with tet(M) Tetracycline Resistance Gene . Antimicrobial Agents and Chemotherapy, 51(4), 1209–1216. doi: 10.1128/AAC.01484-06
Tn1213	AY779042	Tn1213 is a 4192 bp composite transposon. It contains blaPER-1 and truncated glutathione-S-transferases (gst) genes, which are flanked by ISPa12 and ISPa13.	Poirel, L., Cabanne, L., Vahaboglu, H., & Nordmann, P. (2005). Genetic Environment and Expression of the Extended-Spectrum β-Lactamase blaPER-1Gene in Gram-Negative Bacteria. Antimicrobial Agents and Chemotherapy, 49(5), 1708–1713. doi: 10.1128/AAC.49.5.1708-1713.2005
Tn1331	NA	Tn1331 consists of a Tn3 transposon (carrying blaTEM-1 gene) and two gene cassettes carrying three antibiotic-resistance genes, which are  aac(6′)-Ib, ant(3″)-Ia and blaOXA-9 genes, conferring resistance to kanamycin, streptomycin and beta-lactams, respectively.	Alavi MR, et al. (2011). An Enterobacter plasmid as a new genetic background for the transposon Tn1331. Infection and Drug Resistance, 4, 209–213. doi: 10.2147/IDR.S25408
Tn1332	DQ174113	Tn1332 is an 11 kb transposon which is closely related to Tn1331. It carries the metallo-β-lactamase gene blaVIM-2, in addition to those found in Tn1331, and two insertion sequences, ISPpu17 and ISPpu18.	Poirel L, et al. (2006). Class II Transposon-Borne Structure Harboring Metallo-β-Lactamase Gene blaVIM-2 in Pseudomonas putida. Antimicrobial Agents and Chemotherapy, 50(8), 2889–2891. doi: 10.1128/AAC.00398-06
